create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01 12:30:00,BTCUSDT,95002.3010000000000000,8351642780.6799000000000000,3.00842244,2.51896800,2.63585302,0.37006500
2026-01-01 12:35:00,BTCUSDT,94994.9510000000000000,8353855990.9400000000000000,3.00408315,2.51829000,2.63281858,1.50360700
2026-01-01 12:40:00,BTCUSDT,95014.8160000000000000,8354652770.8800000000000000,2.99814693,2.51725300,2.62761250,0.77593800
2026-01-01 12:45:00,BTCUSDT,95013.1290000000000000,8355487546.1019110000000000,2.99576167,2.51660300,2.62500294,0.85445100
2026-01-01 12:50:00,BTCUSDT,95015.1740000000000000,8356064204.7652190000000000,2.99292734,2.51635800,2.62264195,1.66656900
2026-01-01 12:55:00,BTCUSDT,95015.8330000000000000,8352048451.2396540000000000,2.98903040,2.51612200,2.61897608,0.69012500
2026-01-01 13:00:00,BTCUSDT,94997.7230000000000000,8349135511.4193170000000000,2.98881947,2.51624700,2.61611563,0.51653800
2026-01-01 13:05:00,BTCUSDT,94986.4390000000000000,8351958109.7481000000000000,2.98808203,2.51648000,2.61434736,1.23537100
2026-01-01 13:10:00,BTCUSDT,95015.1370000000000000,8356723545.7605150000000000,2.98886332,2.51542700,2.61522228,1.29030600
2026-01-01 13:15:00,BTCUSDT,95021.4320000000000000,8356460292.2328000000000000,2.98603868,2.51470200,2.61376579,0.54247400
2026-01-01 13:20:00,BTCUSDT,95038.3770000000000000,8357019108.5787000000000000,2.98424228,2.51293300,2.61325152,1.20015700
2026-01-01 13:25:00,BTCUSDT,95048.9960000000000000,8358481611.0987740000000000,2.97803639,2.51188500,2.60874854,0.82638900
2026-01-01 13:30:00,BTCUSDT,95035.1730000000000000,8356978591.5440750000000000,2.97327385,2.51253100,2.60278323,1.04627800
2026-01-01 13:35:00,BTCUSDT,95015.9620000000000000,8354871931.9910800000000000,2.97400311,2.51441400,2.60298891,0.81327100
2026-01-01 13:40:00,BTCUSDT,95013.4640000000000000,8356009743.9842760000000000,2.97306811,2.51510200,2.60188578,1.01610600
2026-01-01 13:45:00,BTCUSDT,94935.8810000000000000,8340297524.0239000000000000,2.97602754,2.51163200,2.60301813,0.45299400
2026-01-01 13:50:00,BTCUSDT,94963.6550000000000000,8344474812.5722390000000000,2.96760471,2.51071800,2.59388036,0.85368100
2026-01-01 13:55:00,BTCUSDT,94965.6660000000000000,8344942806.7563170000000000,2.96112540,2.51134400,2.58725839,1.27126400
2026-01-01 14:00:00,BTCUSDT,94961.1540000000000000,8340509027.8779880000000000,2.94921334,2.50249900,2.57523151,0.32878400
2026-01-01 14:05:00,BTCUSDT,94946.1340000000000000,8339845664.1771480000000000,2.94516589,2.50182200,2.57108087,0.89621700
2026-01-01 14:10:00,BTCUSDT,94948.0330000000000000,8346891075.8333000000000000,2.93945924,2.50273700,2.56850664,3.05450000
2026-01-01 14:15:00,BTCUSDT,94963.3770000000000000,8349562129.8375920000000000,2.93887421,2.50070100,2.56796926,0.61677700
2026-01-01 14:20:00,BTCUSDT,94935.4470000000000000,8340060031.8606000000000000,2.94095401,2.49956400,2.56892161,0.19915300
2026-01-01 14:25:00,BTCUSDT,94885.0820000000000000,8333026136.9286000000000000,2.93930401,2.50023400,2.56638827,0.49410900
2026-01-01 14:30:00,BTCUSDT,94883.5870000000000000,8331623402.5243000000000000,2.92981460,2.49830000,2.55579147,0.56071400
2026-01-01 14:35:00,BTCUSDT,94872.0200000000000000,8334004135.2940000000000000,2.93180711,2.50042200,2.55669675,1.68660600
2026-01-01 14:40:00,BTCUSDT,94878.5390000000000000,8336056900.1017000000000000,2.92771133,2.49999800,2.55261581,1.65735100
2026-01-01 14:45:00,BTCUSDT,94887.0420000000000000,8336217454.6728150000000000,2.92880023,2.50014300,2.55312579,0.58904700
2026-01-01 14:50:00,BTCUSDT,94884.1100000000000000,8342114352.9876790000000000,2.93042314,2.50111500,2.55792219,2.59149100
2026-01-01 14:55:00,BTCUSDT,94900.6540000000000000,8343688631.3708725000000000,2.90971719,2.50016200,2.54090169,0.91377400
2026-01-01 15:00:00,BTCUSDT,94904.0050000000000000,8342261337.9105000000000000,2.91127050,2.49894600,2.54009666,0.74291300
2026-01-01 15:05:00,BTCUSDT,94912.1580000000000000,8341421444.3406000000000000,2.90851989,2.49812600,2.53790341,0.57006800
2026-01-01 15:10:00,BTCUSDT,94895.3990000000000000,8345376584.7171000000000000,2.90584259,2.49864300,2.53652399,1.25120200
2026-01-01 15:15:00,BTCUSDT,94854.6250000000000000,8345528073.1375000000000000,2.90797422,2.50094600,2.55006092,1.84550400
